eta,DeltaE_eV,NLL
0.5736152510448679,0.0069519279617756054,0.7139734034180707
0.5736152510448679,0.008858667904100823,0.7139734034180707
0.5736152510448679,0.011288378916846888,0.7139734034180707
0.5736152510448679,0.01438449888287663,0.7139734034180707
0.5736152510448679,0.018329807108324356,0.7139734034180707
0.5736152510448679,0.023357214690901212,0.7139734034180707
0.5736152510448679,0.029763514416313176,0.7139734034180707
0.5736152510448679,0.0379269019073225,0.7139734034180707
0.5736152510448679,0.04832930238571752,0.7139734034180707
0.5736152510448679,0.06158482110660261,0.7139734034180707
0.5736152510448679,0.07847599703514611,0.7139734034180707
0.5736152510448679,0.1,0.7139734034180707
0.727895384398315,0.001,0.7150410927427144
0.727895384398315,0.0012742749857031334,0.7150410927427144
0.727895384398315,0.001623776739188721,0.7150410927427144
0.727895384398315,0.00206913808111479,0.7150410927427144
0.727895384398315,0.0026366508987303583,0.7150410927427144
0.727895384398315,0.003359818286283781,0.7150410927427144
0.727895384398315,0.004281332398719396,0.7150410927427144
0.727895384398315,0.00545559478116852,0.7150410927427144
0.727895384398315,0.0069519279617756054,0.7150410927427144
0.727895384398315,0.008858667904100823,0.7150410927427144
0.727895384398315,0.011288378916846888,0.7150410927427144
0.727895384398315,0.01438449888287663,0.7150410927427144
0.727895384398315,0.018329807108324356,0.7150410927427144
0.727895384398315,0.023357214690901212,0.7150410927427144
0.727895384398315,0.029763514416313176,0.7150410927427144
0.727895384398315,0.0379269019073225,0.7150410927427144
0.727895384398315,0.04832930238571752,0.7150410927427144
0.727895384398315,0.06158482110660261,0.7150410927427144
0.727895384398315,0.07847599703514611,0.7150410927427144
0.727895384398315,0.1,0.7150410927427144
0.9236708571873861,0.001,0.7164013504248837
0.9236708571873861,0.0012742749857031334,0.7164013504248837
0.9236708571873861,0.001623776739188721,0.7164013504248837
0.9236708571873861,0.00206913808111479,0.7164013504248837
0.9236708571873861,0.0026366508987303583,0.7164013504248837
0.9236708571873861,0.003359818286283781,0.7164013504248837
0.9236708571873861,0.004281332398719396,0.7164013504248837
0.9236708571873861,0.00545559478116852,0.7164013504248837
0.9236708571873861,0.0069519279617756054,0.7164013504248837
0.9236708571873861,0.008858667904100823,0.7164013504248837
0.9236708571873861,0.011288378916846888,0.7164013504248837
0.9236708571873861,0.01438449888287663,0.7164013504248837
0.9236708571873861,0.018329807108324356,0.7164013504248837
0.9236708571873861,0.023357214690901212,0.7164013504248837
0.9236708571873861,0.029763514416313176,0.7164013504248837
0.9236708571873861,0.0379269019073225,0.7164013504248837
0.9236708571873861,0.04832930238571752,0.7164013504248837
0.9236708571873861,0.06158482110660261,0.7164013504248837
0.9236708571873861,0.07847599703514611,0.7164013504248837
0.9236708571873861,0.1,0.7164013504248837
1.1721022975334805,0.001,0.7181361960750796
1.1721022975334805,0.0012742749857031334,0.7181361960750796
1.1721022975334805,0.001623776739188721,0.7181361960750796
1.1721022975334805,0.00206913808111479,0.7181361960750796
1.1721022975334805,0.0026366508987303583,0.7181361960750796
1.1721022975334805,0.003359818286283781,0.7181361960750796
1.1721022975334805,0.004281332398719396,0.7181361960750796
1.1721022975334805,0.00545559478116852,0.7181361960750796
1.1721022975334805,0.0069519279617756054,0.7181361960750796
1.1721022975334805,0.008858667904100823,0.7181361960750796
1.1721022975334805,0.011288378916846888,0.7181361960750796
1.1721022975334805,0.01438449888287663,0.7181361960750796
1.1721022975334805,0.018329807108324356,0.7181361960750796
1.1721022975334805,0.023357214690901212,0.7181361960750796
1.1721022975334805,0.029763514416313176,0.7181361960750796
1.1721022975334805,0.0379269019073225,0.7181361960750796
1.1721022975334805,0.04832930238571752,0.7181361960750796
1.1721022975334805,0.06158482110660261,0.7181361960750796
1.1721022975334805,0.07847599703514611,0.7181361960750796
1.1721022975334805,0.1,0.7181361960750796
1.4873521072935119,0.001,0.7203517771634506
1.4873521072935119,0.0012742749857031334,0.7203517771634506
1.4873521072935119,0.001623776739188721,0.7203517771634506
1.4873521072935119,0.00206913808111479,0.7203517771634506
1.4873521072935119,0.0026366508987303583,0.7203517771634506
1.4873521072935119,0.003359818286283781,0.7203517771634506
1.4873521072935119,0.004281332398719396,0.7203517771634506
1.4873521072935119,0.00545559478116852,0.7203517771634506
1.4873521072935119,0.0069519279617756054,0.7203517771634506
1.4873521072935119,0.008858667904100823,0.7203517771634506
1.4873521072935119,0.011288378916846888,0.7203517771634506
1.4873521072935119,0.01438449888287663,0.7203517771634506
1.4873521072935119,0.018329807108324356,0.7203517771634506
1.4873521072935119,0.023357214690901212,0.7203517771634506
1.4873521072935119,0.029763514416313176,0.7203517771634506
1.4873521072935119,0.0379269019073225,0.7203517771634506
1.4873521072935119,0.04832930238571752,0.7203517771634506
1.4873521072935119,0.06158482110660261,0.7203517771634506
1.4873521072935119,0.07847599703514611,0.7203517771634506
1.4873521072935119,0.1,0.7203517771634506
1.8873918221350976,0.001,0.7231861579232473
1.8873918221350976,0.0012742749857031334,0.7231861579232473
1.8873918221350976,0.001623776739188721,0.7231861579232473
1.8873918221350976,0.00206913808111479,0.7231861579232473
1.8873918221350976,0.0026366508987303583,0.7231861579232473
1.8873918221350976,0.003359818286283781,0.7231861579232473
1.8873918221350976,0.004281332398719396,0.7231861579232473
1.8873918221350976,0.00545559478116852,0.7231861579232473
1.8873918221350976,0.0069519279617756054,0.7231861579232473
1.8873918221350976,0.008858667904100823,0.7231861579232473
1.8873918221350976,0.011288378916846888,0.7231861579232473
1.8873918221350976,0.01438449888287663,0.7231861579232473
1.8873918221350976,0.018329807108324356,0.7231861579232473
1.8873918221350976,0.023357214690901212,0.7231861579232473
1.8873918221350976,0.029763514416313176,0.7231861579232473
1.8873918221350976,0.0379269019073225,0.7231861579232473
1.8873918221350976,0.04832930238571752,0.7231861579232473
1.8873918221350976,0.06158482110660261,0.7231861579232473
1.8873918221350976,0.07847599703514611,0.7231861579232473
1.8873918221350976,0.1,0.7231861579232473
2.395026619987486,0.001,0.7268200361500088
2.395026619987486,0.0012742749857031334,0.7268200361500088
2.395026619987486,0.001623776739188721,0.7268200361500088
2.395026619987486,0.00206913808111479,0.7268200361500088
2.395026619987486,0.0026366508987303583,0.7268200361500088
2.395026619987486,0.003359818286283781,0.7268200361500088
2.395026619987486,0.004281332398719396,0.7268200361500088
2.395026619987486,0.00545559478116852,0.7268200361500088
2.395026619987486,0.0069519279617756054,0.7268200361500088
2.395026619987486,0.008858667904100823,0.7268200361500088
2.395026619987486,0.011288378916846888,0.7268200361500088
2.395026619987486,0.01438449888287663,0.7268200361500088
2.395026619987486,0.018329807108324356,0.7268200361500088
2.395026619987486,0.023357214690901212,0.7268200361500088
2.395026619987486,0.029763514416313176,0.7268200361500088
2.395026619987486,0.0379269019073225,0.7268200361500088
2.395026619987486,0.04832930238571752,0.7268200361500088
2.395026619987486,0.06158482110660261,0.7268200361500088
2.395026619987486,0.07847599703514611,0.7268200361500088
2.395026619987486,0.1,0.7268200361500088
3.039195382313198,0.001,0.7314917267182252
3.039195382313198,0.0012742749857031334,0.7314917267182252
3.039195382313198,0.001623776739188721,0.7314917267182252
3.039195382313198,0.00206913808111479,0.7314917267182252
3.039195382313198,0.0026366508987303583,0.7314917267182252
3.039195382313198,0.003359818286283781,0.7314917267182252
3.039195382313198,0.004281332398719396,0.7314917267182252
3.039195382313198,0.00545559478116852,0.7314917267182252
3.039195382313198,0.0069519279617756054,0.7314917267182252
3.039195382313198,0.008858667904100823,0.7314917267182252
3.039195382313198,0.011288378916846888,0.7314917267182252
3.039195382313198,0.01438449888287663,0.7314917267182252
3.039195382313198,0.018329807108324356,0.7314917267182252
3.039195382313198,0.023357214690901212,0.7314917267182252
3.039195382313198,0.029763514416313176,0.7314917267182252
3.039195382313198,0.0379269019073225,0.7314917267182252
3.039195382313198,0.04832930238571752,0.7314917267182252
3.039195382313198,0.06158482110660261,0.7314917267182252
3.039195382313198,0.07847599703514611,0.7314917267182252
3.039195382313198,0.1,0.7314917267182252
3.856620421163472,0.001,0.73751849413265
3.856620421163472,0.0012742749857031334,0.73751849413265
3.856620421163472,0.001623776739188721,0.73751849413265
3.856620421163472,0.00206913808111479,0.73751849413265
3.856620421163472,0.0026366508987303583,0.73751849413265
3.856620421163472,0.003359818286283781,0.73751849413265
3.856620421163472,0.004281332398719396,0.73751849413265
3.856620421163472,0.00545559478116852,0.73751849413265
3.856620421163472,0.0069519279617756054,0.73751849413265
3.856620421163472,0.008858667904100823,0.73751849413265
3.856620421163472,0.011288378916846888,0.73751849413265
3.856620421163472,0.01438449888287663,0.73751849413265
